종목명,취득일,수량,취득단가(KRW),비고
다날,2025-10-29,400,9030,25년 원본 거래내역 FIFO 재구성
대덕전자,2025-09-25,400,27250,25년 원본 거래내역 FIFO 재구성
대덕전자,2025-09-30,300,26950,25년 원본 거래내역 FIFO 재구성
대덕전자,2025-10-17,400,31950,25년 원본 거래내역 FIFO 재구성
대덕전자,2025-11-03,300,36800,25년 원본 거래내역 FIFO 재구성
두산에너빌리티,2025-08-19,49,66100,25년 원본 거래내역 FIFO 재구성
심텍,2025-10-27,50,58500,25년 원본 거래내역 FIFO 재구성
심텍,2025-11-11,100,64700,25년 원본 거래내역 FIFO 재구성
심텍,2025-11-12,100,52600,25년 원본 거래내역 FIFO 재구성
에스피지,2025-01-21,100,29300,25년 원본 거래내역 FIFO 재구성
에스피지,2025-10-22,200,32150,25년 원본 거래내역 FIFO 재구성
에이비엘바이오,2025-12-23,40,196400,25년 원본 거래내역 FIFO 재구성
일진디스플,2025-08-21,1000,1053,25년 원본 거래내역 FIFO 재구성
클로봇,2025-09-30,220,30200,25년 원본 거래내역 FIFO 재구성
클로봇,2025-11-07,150,41150,25년 원본 거래내역 FIFO 재구성
클로봇,2025-11-24,200,37050,25년 원본 거래내역 FIFO 재구성
한국콜마,2025-11-03,100,77300,25년 원본 거래내역 FIFO 재구성
한국콜마,2025-11-12,10,66100,25년 원본 거래내역 FIFO 재구성
