종목명,취득일,매도일,수량,매도금액(KRW),취득금액(KRW),손익(KRW),Term
에스피지,2025-01-21,2026-01-05,100,7600000,2930000,4670000,Short
에스피지,2025-10-22,2026-01-05,100,7600000,3215000,4385000,Short
에스피지,2025-10-22,2026-01-05,65,4940000,2089750,2850250,Short
대덕전자,2025-09-25,2026-02-12,200,11760000,5450000,6310000,Short
에스피지,2025-10-22,2026-02-12,32,4448000,1028800,3419200,Short
클로봇,2025-09-30,2026-03-08,220,12716000,6644000,6072000,Short
클로봇,2025-11-07,2026-03-08,130,7514000,5349500,2164500,Short
에이비엘바이오,2025-12-23,2026-04-01,40,6748000,7856000,-1108000,Short
에이비엘바이오,2026-01-06,2026-04-01,30,5061000,6090000,-1029000,Short
대덕전자,2025-09-25,2026-05-05,40,4764000,1090000,3674000,Short
자화전자,2026-02-12,2026-05-12,100,4235000,4205000,30000,Short
자화전자,2026-03-04,2026-05-12,20,847000,631000,216000,Short
자화전자,2026-04-02,2026-05-12,120,5082000,4134000,948000,Short
자화전자,2026-04-02,2026-05-12,120,5076000,4134000,942000,Short
미래에셋증권,2026-03-08,2026-05-12,1,73900,60712,13188,Short
미래에셋증권,2026-03-08,2026-05-12,150,11070000,9106800,1963200,Short
테크윙,2026-03-04,2026-05-12,33,1762200,2016300,-254100,Short
테크윙,2026-03-31,2026-05-12,47,2509800,2265400,244400,Short
테크윙,2026-03-31,2026-05-12,33,1762200,1590600,171600,Short
현대건설,2026-03-10,2026-05-12,30,4653000,4605000,48000,Short
에이비엘바이오,2026-01-06,2026-05-18,10,1117000,2030000,-913000,Short
두산에너빌리티,2025-08-19,2026-05-29,49,5223400,3238900,1984500,Short
두산에너빌리티,2026-01-15,2026-05-29,20,2132000,1922000,210000,Short
현대건설,2026-04-22,2026-06-02,50,6565000,8410000,-1845000,Short
네오셈,2026-04-27,2026-06-02,500,6690000,9785000,-3095000,Short
