거래일자,종목명,거래종류,거래수량,거래단가(KRW),거래금액(KRW),비고
2026-01-05,에스피지,매도,200,76000,15200000,25년 이월 보유분 추정
2026-01-05,에스피지,매도,65,76000,4940000,25년 이월 보유분 추정
2026-01-06,에이비엘바이오,매수,40,203000,8120000,
2026-01-06,두산테스나,매수,215,52700,11330500,
2026-01-15,두산에너빌리티,매수,20,96100,1922000,
2026-01-20,에이비엘바이오,매수,10,179300,1793000,
2026-02-11,삼영,매수,50,8100,405000,
2026-02-12,대덕전자,매도,200,58800,11760000,
2026-02-12,에스피지,매도,32,139000,4448000,25년 이월 보유분 추정
2026-02-12,자화전자,매수,100,42050,4205000,
2026-02-12,삼영,매수,250,8120,2030000,
2026-03-04,자화전자,매수,20,31550,631000,
2026-03-04,테크윙,매수,33,61100,2016300,
2026-03-08,클로봇,매도,350,57800,20230000,25년 이월 보유분 추정
2026-03-08,미래에셋증권,매수,200,60712,12142400,
2026-03-10,현대건설,매수,30,153500,4605000,
2026-03-10,에이비엘바이오,매수,30,186200,5586000,
2026-03-16,미래에셋증권,매수,150,71200,10680000,
2026-03-31,테크윙,매수,80,48200,3856000,
2026-04-01,에이비엘바이오,매도,70,168700,11809000,
2026-04-02,자화전자,매수,240,34450,8268000,
2026-04-22,현대건설,매수,100,168200,16820000,
2026-04-27,네오셈,매수,1000,19570,19570000,
2026-05-05,대덕전자,매도,40,119100,4764000,25년 이월 보유분 추정
2026-05-12,자화전자,매도,240,42350,10164000,
2026-05-12,자화전자,매도,120,42300,5076000,
2026-05-12,미래에셋증권,매도,1,73900,73900,
2026-05-12,미래에셋증권,매도,150,73800,11070000,
2026-05-12,테크윙,매도,80,53400,4272000,
2026-05-12,테크윙,매도,33,53400,1762200,
2026-05-12,현대건설,매도,30,155100,4653000,
2026-05-12,네오셈,매수,687,15900,10923300,
2026-05-13,일진전기,매수,100,139200,13920000,
2026-05-18,에이비엘바이오,매도,10,111700,1117000,
2026-05-18,일진전기,매수,40,113100,4524000,
2026-05-28,삼영,매수,200,9210,1842000,
2026-05-29,두산에너빌리티,매도,69,106600,7355400,매도 69주 > 26년 매수 20주 — 25년 이월 보유분 포함 추정
2026-05-29,두산테스나,매수,50,157600,7880000,
2026-06-02,현대건설,매도,50,131300,6565000,
2026-06-02,네오셈,매도,500,13380,6690000,
2026-06-02,대덕전자,매수,100,155269,15526900,
